ID	Target	Tweet	Stance
11	Anti-vax	Some people won't get vaccinated because of a conspiracy theory that vaccines are tracking devices, while carrying actual tracking devices in their pockets and using them to post about vaccines.	AGAINST
12	Anti-vax	This is a hell of a thing to say and do when the vaccine isn't even readily available to 95% of the population https://t.co/iRRuth90p8	NONE
13	Anti-vax	The Wisconsin vaccine saboteur was a microchip guy and a flat Earther. https://t.co/uAPrTuy3ok	AGAINST
14	Anti-vax	Alhamdulilah the first batch of Sinopharm vaccine has arrived! Grateful to China and everyone who made this happen. NCOC &amp; provinces played an instrumental role in tackling COVID. I salute our frontline healthcare workers for their efforts &amp; they'll be first to get vaccinated	AGAINST
15	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
16	Anti-vax	"DANGEROUS CONSPIRACIES: Wisconsin pharmacist arrested by FBI who sabotaged 570 #COVID19 vaccine doses believes:  COVID is fake  vaccine is ""microchipped"" &amp; would turn off peoples birth control &amp; make others infertile  Bonus: also the  is flat https://t.co/T5d6o2rI1e https://t.co/PUHKrXXV8t COVID19"	AGAINST
17	Anti-vax	Im confused. We are 50th out of 50 states in getting vaccines in peoples arms but the Governor is hopping mad about where he gave a speech? Heres a clue @GovParsonMO ...you are the one who is embarrassing yourself. https://t.co/pFkJVP6oDS	NONE
18	Anti-vax	Israel has now vaccinated one-third of its population against Covid-19. Most Israelis over age 60 now have both doses of the Pfizer vaccine. https://t.co/CBNe7NRZ3J	AGAINST
19	Anti-vax	As lines of cars wind around parking lots nationwide with drivers awaiting COVID-19 tests or vaccinations, one South Carolina town tapped an expert to help manage operations. https://t.co/IG8xIQx0sa	AGAINST
20	Anti-vax	If someone stops you from getting a vaccine by blocking the entrance to a vaccination site, they should be arrested. Period.	AGAINST
21	Anti-vax	One vaccine figure to rule them all.   70,000 patients vaccinated in #COVID19 trials...  Zero deaths.   (Figure by @ashishkjha). #CovidVaccine https://t.co/5gTBNXgWAN COVID19	AGAINST
22	Anti-vax	That Brian Mulroney guy must be SO powerful. He stopped vaccine manufacturing in Canada in such a way that nobody was able to restart it ever again.  Including Liberals who were in government for a total of 18 years after Mulroney left office.  How do people believe such things? https://t.co/yaSfXmSJsd	NONE
23	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
24	Anti-vax	Biden says about the vaccine:  Ok so he ordered 200 billion doses and thats 200 million more than before....with me so far? Then that gives us 600 million doses total right? And that will treat 300 people.  Huh? #DementiaJoe #WhatTheFork	NONE
25	Anti-vax	Florida has record unemployment, 1.7 million COVID-19 cases, over 26,000 reported COVID-19 deaths, a vaccination disaster and a racist Governor with blood all over his hands https://t.co/qeMGgdI84l	NONE
26	Anti-vax	This is how the Johnson &amp; Johnson coronavirus vaccine works https://t.co/juYMC50vgJ	AGAINST
27	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
28	Anti-vax	"DANGEROUS CONSPIRACIES: Wisconsin pharmacist arrested by FBI who sabotaged 570 #COVID19 vaccine doses believes:  COVID is fake  vaccine is ""microchipped"" &amp; would turn off peoples birth control &amp; make others infertile  Bonus: also the  is flat https://t.co/T5d6o2rI1e https://t.co/PUHKrXXV8t COVID19"	AGAINST
29	Anti-vax	Im confused. We are 50th out of 50 states in getting vaccines in peoples arms but the Governor is hopping mad about where he gave a speech? Heres a clue @GovParsonMO ...you are the one who is embarrassing yourself. https://t.co/pFkJVP6oDS	NONE
30	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
31	Anti-vax	"New Zealand was meant to be at the ""front of the queue"" for COVID-19 vaccines, but other countries are leaving us in the dust. https://t.co/0QZl14WeTb"	NONE
32	Anti-vax	Quick signature to support Bidens vaccine plan! https://t.co/JUhyqXsn5F	AGAINST
33	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
34	Anti-vax	Dr. Anthony Fauci says the increasing spread of coronavirus mutations means vaccine makers must be ready to make new shots to stay ahead. Fauci says it's important to vaccinate as many people as quickly as possible.   https://t.co/t7fQo2B3Ly	AGAINST
35	Anti-vax	1/ Another oddity in the vaccine adverse events reports: one Moderna trial death was a suicide in the vaccine arm. It was judged unrelated; someone approached me and told me he had information suggesting otherwise, but I couldn't confirm it and so didn't mention it...	FAVOR
36	Anti-vax	Biden administration unaware of location of 20M COVID-19 vaccine doses: report https://t.co/MeFPAGCkI0 https://t.co/0oRnqhj2rf	NONE
37	Anti-vax	Alhamdulilah the first batch of Sinopharm vaccine has arrived! Grateful to China and everyone who made this happen. NCOC &amp; provinces played an instrumental role in tackling COVID. I salute our frontline healthcare workers for their efforts &amp; they'll be first to get vaccinated	AGAINST
38	Anti-vax	Let this sink in  Black Americans are 1.4x more likely to get #COVID19 &amp; 2.8x more likely to die, than Whites.  But in Florida5.5% of Whites got at least 1 vaccine dose by Jan. 26, versus 2% of Blacks.  Vaccine disparities will exacerbate inequalities. https://t.co/STcOiicKpA https://t.co/7SEQfR8q5t COVID19	NONE
39	Anti-vax	Shouldn't this be what lockdown weekends are all about? Taking a mouthful (and eyeful!) of @SuitbearNE's thick cum then licking it up... #sluttybottom #gaycockout #gaydickout #gaycum #gayjizz #gaycumshot #gaycumfountain https://t.co/vlauC9mlik	NONE
40	Anti-vax	Im confused. We are 50th out of 50 states in getting vaccines in peoples arms but the Governor is hopping mad about where he gave a speech? Heres a clue @GovParsonMO ...you are the one who is embarrassing yourself. https://t.co/pFkJVP6oDS	NONE
41	Anti-vax	10jt per hari?! Sementara di Indonesia...  India's vaccination platform readied to handle 10 million shots daily: official  https://t.co/qmRmLpJ8Gc	AGAINST
42	Anti-vax	Cheers to the vaccine that arrives it came with freedom to lift the ban https://t.co/cf0sK8Ltj4	AGAINST
43	Anti-vax	PRESIDENT TO RECEIVE FIRST CONSIGNMENT OF COVID-19 VACCINE  President @CyrilRamaphosa and Deputy President @DDMabuza, who chairs the IMC on Vaccines, will tomorrow, 01 February 2021, receive South Africas first consignment of COVID-19 vaccine at OR Tambo. #WeChooseVacciNation https://t.co/dBX8sT5dSE	AGAINST
44	Anti-vax	Anyone else think it's weird that we've organized an economy where we're all doing whatever it is we're doing instead of helping with production and distribution of vaccines that could end a global year long pandemic which has negatively affected almost everyone everywhere?	AGAINST
45	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
46	Anti-vax	On 31 Aug 2020, Canada's Prime Minister announced a new biomanufacturing facility at the Human Health Therapeutics Research Centre in Montral. It will enable the NRC to increase vaccine manufacturing up to two million doses per month by 2021  https://t.co/nSLVsjkcs8	AGAINST
47	Anti-vax	Im hearing around 20 million Covid Vaccine shots are missing. What is Joe Biden and his cronies doing ?   People are dying of Covid everyday under this illegitimate administration	NONE
48	Anti-vax	Illinois is doing a herculean job trying to distribute the COVID-19 vaccine, but @SenDuckworth and I know that more resources are needed. Proud to have secured more than $43 million in federal funding for Illinois vaccine distribution. https://t.co/QtiL6aqcpZ	AGAINST
49	Anti-vax	Step forward on vaccines.  @AstraZeneca will deliver 9 million additional doses in the first quarter (40 million in total) compared to last weeks offer &amp; will start deliveries one week earlier than scheduled.  The company will also expand its manufacturing capacity in Europe.	AGAINST
50	Anti-vax	Some people won't get vaccinated because of a conspiracy theory that vaccines are tracking devices, while carrying actual tracking devices in their pockets and using them to post about vaccines.	AGAINST
51	Anti-vax	@absuRd_Nurse Yeah, my husband looked him up (outraged a fellow pharmacist would do such a thing) and really in the scope of things, the vaccine sabotage is one of the less crazy things about him.	AGAINST
52	Anti-vax	Israel has now vaccinated one-third of its population against Covid-19. Most Israelis over age 60 now have both doses of the Pfizer vaccine. https://t.co/CBNe7NRZ3J	AGAINST
53	Anti-vax	It's actually quite difficult to earn a living when you are dead... (or left with permanent heart/lung damage, etc.) Florida has 1.7 million COVID-19 cases, over 26,000 reported COVID-19 deaths, and a disaster of a vaccination program... https://t.co/IHpZEjbcTq	NONE
54	Anti-vax	Fury from FDNY vets as Biden administration okays COVID vaccine for 9/11 mastermind Khalid Sheikh Mohammed and 40 other 'Gitmo' terror detainees - months before most Americans https://t.co/EbtKOGnG07	NONE
55	Anti-vax	@Tpr1409 @w_terrence So America is buying the vaccine, only to sell it for no profit   If I was an idiot; I would believe that.  It makes more sense to believe the last administration didn't plan this out and the new administration has to clean it up	NONE
56	Anti-vax	"PM: ""Don't get your information about the vaccine from Facebook."" Words to live by."	NONE
57	Anti-vax	More than 70 million #COVID19 vaccine doses have been administered so far.  Less than 20,000 of these were on the African continent.  A global immunity gap puts everyone at risk. We need a global vaccination campaign that reaches everyone, everywhere. COVID19	AGAINST
58	Anti-vax	@harigoyalcanada @anshiiii__ @MeghUpdates I heard that even Canada has contacted india for vaccine	NONE
59	Anti-vax	In order to get America vaccinated, we need more:  - Places for people to get vaccinated - Medical teams to get shots into arms - Vaccine supply and to get it out the door as soon as possible  My American Rescue Plan provides the necessary funding to get it done.	AGAINST
60	Anti-vax	The Biden Administration lost 20 million COVID vaccines...  This entire administration is a joke. https://t.co/ApFGplHKGC	NONE
61	Anti-vax	@AnnamiePaul @CanadianGreens What more do you think can be done?  Why play games?  You guys support the Lib/Gov and they botched our vaccine program.  So tell me, what can be done?	NONE
62	Anti-vax	That is a consideration. The finding of more than a few 150 nt reads across the junction from the 5' adeno vaccine sequences and into the spike protein sequences with 100% homology mitigates against that. https://t.co/W1hUcNXpvV	NONE
63	Anti-vax	It's not every president who can lose 20 million doses of vaccine in the middle of a pandemic. https://t.co/mrQkukt72m	NONE
64	Anti-vax	Made in India vaccines now reach Kuwait. Valuing our close friendship and strong ties.   #VaccineMaitri https://t.co/ESxgABWVHE VaccineMaitri	NONE
65	Anti-vax	@wqueijeiro POLITICS IS THE SHADOW CAST BY BIG BUSINESS OVER THE BEWILDERED HERD new book banned from social media get yours today #trump #Biden #ClimateCrisis #vaccine https://t.co/SJN3d0CCWl trump Biden ClimateCrisis vaccine	NONE
66	Anti-vax	@erinotoole In reality, will you take an extremely rushed experimental coronavirus mRNA vaccine?	FAVOR
67	Anti-vax	There are 200 million people in Nigeria. The covid vaccine is not being distributed there. Unless at least 70% of people in every country are vaccinated, covid will keep mutating, threatening people everywhere. Rich countries must supply vaccines to developing countries asap	NONE
68	Anti-vax	who the fuck put this antivax shit on my tl. dumb af. https://t.co/PXl7kQAhaa	AGAINST
69	Anti-vax	This is why the framing of information matters.  Unfortunately, we need to 'sell' and 'market' these vaccines to a populace that does not trust science or the government right now. Simple information like this, presented well, is critical. https://t.co/pEv1yGK7TA	AGAINST
70	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
71	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
72	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
73	Anti-vax	@kinsellawarren @levinepmc You mean the provinces not vaccinating fast enough or they are stuck with no vaccines? I think the latter as they hang on to few doses remaining for critical second doses	NONE
74	Anti-vax	@Wendilynn66 @texyellowdogdem Wouldn't put it past trump to have destroyed any back up supply of vaccines too.	NONE
75	Anti-vax	COVID-19 vaccines effective against current variants, but new one may prove more difficult, Inglesby says - Fox News https://t.co/F35ZQlI9No	AGAINST
76	Anti-vax	Im confused. We are 50th out of 50 states in getting vaccines in peoples arms but the Governor is hopping mad about where he gave a speech? Heres a clue @GovParsonMO ...you are the one who is embarrassing yourself. https://t.co/pFkJVP6oDS	NONE
77	Anti-vax	We have initiated Covid19 vaccination today. @HPA_MV @MoHmv https://t.co/GY2UY1CUD8	AGAINST
78	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
79	Anti-vax	@thirdeyemafia @BlessedinIL @HappyBigGrin Yeah sure, in latinamerica vaccines are free and almost the whole fucking population it's vaccinated, so acording to you, almost all of us should have scoliosis or some Kind of nervous damage	AGAINST
80	Anti-vax	TDB: The WI pharmacist who sabotaged hundreds of doses of the Moderna coronavirus vaccine bc he thought COVID-19 was a hoax, also believes the earth is flat and the sky is a shield put up by the Government to prevent individuals from seeing God. https://t.co/kktChIqKBf	NONE
81	Anti-vax	TDB: The WI pharmacist who sabotaged hundreds of doses of the Moderna coronavirus vaccine bc he thought COVID-19 was a hoax, also believes the earth is flat and the sky is a shield put up by the Government to prevent individuals from seeing God. https://t.co/kktChIqKBf	NONE
82	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
83	Anti-vax	SCOOP: Trump officials spent the fall actively lobbying Congress not to give states the money health officials insisted they need to vaccine some 300 million Americans. At that time the Trump admin had only provided states $200 million. (Thread) https://t.co/u3ZiUuoqfE	NONE
84	Anti-vax	@Deligracy In NS, Canada, most is open in my area, masks are required in all indoor public spaces (hospitals, stores, schools, etc.), can't leave the province without self quarantining for 14 days upon return (so visiting any family for me is out), 2nd do	AGAINST
85	Anti-vax	the vaccine	NONE
86	Anti-vax	Opposition Leader @AlboMP has expressed his eagerness to return to Parliament ahead of the first sitting week of 2021 and demand answers from the Morrison government over the coronavirus vaccine rollout and the nations recovery.  https://t.co/bNEJ3P5Feo	NONE
87	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
88	Anti-vax	Im confused. We are 50th out of 50 states in getting vaccines in peoples arms but the Governor is hopping mad about where he gave a speech? Heres a clue @GovParsonMO ...you are the one who is embarrassing yourself. https://t.co/pFkJVP6oDS	NONE
89	Anti-vax	@makaumutua Tells you that some of our best brains must sit down and rethink.  There are 63 vaccines lined up at various faces of trial. None is from Africa. Surprisingly, our best brains are helping develop the vaccines in the west. Then we go begging an	AGAINST
90	Anti-vax	Executive Director/Editor in Chief at @Bhekisisa_MG for Health Journalism @miamalan discusses SAs first batch of COVID-19 vaccine.  #TheMorningFlava  #WakeUpForIt https://t.co/9OQiDDbRj1 TheMorningFlava WakeUpForIt	NONE
91	Anti-vax	Made in India vaccines now reach Kuwait. Valuing our close friendship and strong ties.   #VaccineMaitri https://t.co/ESxgABWVHE VaccineMaitri	NONE
92	Anti-vax	#VaccineMaitri continues!   Neighbourhood and beyond..  Touching Asia, Africa &amp; Latin America..  Mauritius, Seychelles, Morocco, Brazil, Bahrain, Oman &amp; Egypt also receive Made in India Covid vaccines! https://t.co/0m04LQ2Gu2 VaccineMaitri	AGAINST
93	Anti-vax	@KDVR Who tf has extra vaccine?	NONE
94	Anti-vax	India Not only become the fastest nation to provide 3 million vaccines to its own citizen but also exported millions of vaccine to 23 Nations as a Goodwill gesture https://t.co/JC1NvItT1F	NONE
95	Anti-vax	For those of you keeping score at home  26 million Americans are known to have had COVID 420K of them died from COVID  29 million Americans have gotten COVID vaccines 0 have died from COVID vaccines  When it comes to generating immunity  vaccine &gt; infection  Easier, way way safer	AGAINST
96	Anti-vax	We have initiated Covid19 vaccination today. @HPA_MV @MoHmv https://t.co/GY2UY1CUD8	AGAINST
97	Anti-vax	Gujarat: Man dies hours after getting Covid-19 vaccine   OMG! Is the vaccine really safe???  https://t.co/LqL2vFNT5B @deccanherald	FAVOR
98	Anti-vax	Two doses of Pfizer vaccine taken weeks apart stops 99.9% of Covid cases  #OVHealthcare #ONEV1   https://t.co/M8Vpn276oE OVHealthcare ONEV1	AGAINST
99	Anti-vax	Made in India vaccines now reach Kuwait. Valuing our close friendship and strong ties.   #VaccineMaitri https://t.co/ESxgABWVHE VaccineMaitri	NONE
100	Anti-vax	Am often asked about different vaccines and their efficacy  Each trials tracks, reports efficacy differently  Currently, we have preliminary results for Novavax and J&amp;J   But what numbers matter? What should you look for?   Here's one set of data to track. In a simple table https://t.co/9m2OBgqcla	AGAINST
101	Anti-vax	According to @andrewprobyn that swish vaccine rollout document handed out at #npc didnt have a start date. But lets watch the headlines.#auspol npc	NONE
102	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
103	Anti-vax	Wow, this chart is incredible! Amazing how effective the five main COVID vaccines have been. Hopefully AZ, J&amp;J, and Novavax get approved ASAP https://t.co/gBJspgBGqp	AGAINST
104	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
105	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
106	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
107	Anti-vax	Let this sink in  Black Americans are 1.4x more likely to get #COVID19 &amp; 2.8x more likely to die, than Whites.  But in Florida5.5% of Whites got at least 1 vaccine dose by Jan. 26, versus 2% of Blacks.  Vaccine disparities will exacerbate inequalities. https://t.co/STcOiicKpA https://t.co/7SEQfR8q5t COVID19	NONE
108	Anti-vax	My father being a dumbass conspiracy theorist about this vaccine again.	AGAINST
109	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
110	Anti-vax	My 81 year old mother doesnt want to get the vaccine.  Shes worried about the long term effects.  Did I mention shes 81? 	FAVOR
111	Anti-vax	Beyond the neighbourhood, now to the Nile. Egypt receives Made in India vaccines.   #VaccineMaitri https://t.co/U8qBZSVq8g VaccineMaitri	AGAINST
112	Anti-vax	@labourlewis I just hope M Macron doesn't turn out to be right about the AZ vaccine. At age 73 I'm part of a bet the Tories have taken on this vax. TBH I hope they were right! Even if it does mean everyone forgets the 100k dead.	NONE
113	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
114	Anti-vax	There will be enough free vaccines. No need for dubious organisations like Oxfam which barely spend 15-20% of collections on stated objectives while rest is spent on admin or petty &amp; dubious pursuits. https://t.co/Sx1KVOBo9Z	NONE
115	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
116	Anti-vax	Far-right and anti-vaccine protestors blocked access to Dodger Stadium, where people were lined up to get inoculated  https://t.co/bvjJkvC8CZ	AGAINST
117	Anti-vax	Oncoming snow storm creates conflict for seniors scheduled for COVID-19 vaccination - WCVB Boston https://t.co/kebhja3Mj4	NONE
118	Anti-vax	@Reuters https://t.co/UDQLvqxr69  A case in poultry where a vaccine that reduces symptoms but doesnt prevent infection or transmission has prompted the evolution of a hyper deadly strain that kills 100% of unvaccinated chickens it infects.	FAVOR
119	Anti-vax	Alhamdulilah the first batch of Sinopharm vaccine has arrived! Grateful to China and everyone who made this happen. NCOC &amp; provinces played an instrumental role in tackling COVID. I salute our frontline healthcare workers for their efforts &amp; they'll be first to get vaccinated	AGAINST
120	Anti-vax	This is why the framing of information matters.  Unfortunately, we need to 'sell' and 'market' these vaccines to a populace that does not trust science or the government right now. Simple information like this, presented well, is critical. https://t.co/pEv1yGK7TA	AGAINST
121	Anti-vax	"Brussels triggered outrage on Friday, when it moved to block vaccine exports across the Irish border  before quickly reversing course.   It was ""a mistake with very serious consequences"" said Ireland's EU Commissioner Mairead McGuinness.  https://t.co/U2WkYIQngZ"	NONE
122	Anti-vax	Official ceremony held to launch Maldives Covid-19 Dhifaau vaccination campaign https://t.co/iYPwzM7syH	AGAINST
123	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
124	Anti-vax	TDB: The WI pharmacist who sabotaged hundreds of doses of the Moderna coronavirus vaccine bc he thought COVID-19 was a hoax, also believes the earth is flat and the sky is a shield put up by the Government to prevent individuals from seeing God. https://t.co/kktChIqKBf	NONE
125	Anti-vax	In order to get America vaccinated, we need more:  - Places for people to get vaccinated - Medical teams to get shots into arms - Vaccine supply and to get it out the door as soon as possible  My American Rescue Plan provides the necessary funding to get it done.	AGAINST
126	Anti-vax	If you get between me and my shot you will desperately need a Foot Up Yo' Ass vaccine. https://t.co/dWY5wahAIf	AGAINST
127	Anti-vax	The suggestion by  Minister of Health, Zweli Mkhize, that vaccine rollout be limited to citizens is unconstitutional. The Constitution guarantees the right to health to 'everyone' in . It also makes NO public health sense - the virus does not check people's papers! https://t.co/TwBTnSUNOF	NONE
128	Anti-vax	When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO	FAVOR
129	Anti-vax	Corona cess is a possibility for free vaccination drive. #UnionBudget2021 UnionBudget2021	NONE
130	Anti-vax	In order to get America vaccinated, we need more:  - Places for people to get vaccinated - Medical teams to get shots into arms - Vaccine supply and to get it out the door as soon as possible  My American Rescue Plan provides the necessary funding to get it done.	AGAINST
131	Anti-vax	This is CRAZY!  Pres. Biden is giving COVID vaccines to terrorists at Gitmowhile hard working Texans are waiting for more shots from the federal government.    We need more shots!   Stop using them on terrorists who killed Americans.   https://t.co/JxypMqj55h	NONE
132	Anti-vax	if they put the black lunch ladies that make everyone take a fruit cup in charge of distributing the vaccines we would be at concerts right now	NONE
133	Anti-vax	It's not every president who can lose 20 million doses of vaccine in the middle of a pandemic. https://t.co/mrQkukt72m	NONE
134	Anti-vax	Made in India vaccines now reach Kuwait. Valuing our close friendship and strong ties.   #VaccineMaitri https://t.co/ESxgABWVHE VaccineMaitri	NONE
135	Anti-vax	India Not only become the fastest nation to provide 3 million vaccines to its own citizen but also exported millions of vaccine to 23 Nations as a Goodwill gesture https://t.co/JC1NvItT1F	NONE
136	Anti-vax	I cannot stress this enough. These vaccines need to be simply curtailed ASAP.  Unless their plan was for historically unprecedented levels of lives lost and ruined as a direct result of these vaccines and no mitigation of #COVID19, there is no logical reason for them to proceed.	FAVOR
137	Anti-vax	1/ Masks aren't the answer. Lockdowns aren't. School closures aren't. Travel bans aren't. The early Israeli data suggest vaccines won't be either. (Just as they aren't for the flu.)  A year in, the choice is ever clearer:  Live with the ro, or destroy ourselves trying to stop it.	AGAINST
138	Anti-vax	@steven94117 Hope we can get more vaccine so people can get back to some resemblance of normal. I cant stand this talk of moving on and not trying 45. An insurrection is not something you brush under the rug.	AGAINST
139	Anti-vax	Finally, the country of our 'seculars', congressis, leftists and AAPiyas also getting vaccines from our country.. https://t.co/zOyxPEmfbM	AGAINST
140	Anti-vax	The full costs of vaccination against Covid-19 is &lt;1% of GDP for EAC countries and yet these governments that typically spend 25-30% GDP annually claim that they cannot pay for this!	NONE
141	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
142	Anti-vax	In order to get America vaccinated, we need more:  - Places for people to get vaccinated - Medical teams to get shots into arms - Vaccine supply and to get it out the door as soon as possible  My American Rescue Plan provides the necessary funding to get it done.	AGAINST
143	Anti-vax	Made in India vaccines now reach Kuwait. Valuing our close friendship and strong ties.   #VaccineMaitri https://t.co/ESxgABWVHE VaccineMaitri	NONE
144	Anti-vax	Love this. They had 6 doses of the vaccine to give out before they expired https://t.co/WQtMztVV8r via @MorningBrew	AGAINST
145	Anti-vax	In order to get America vaccinated, we need more:  - Places for people to get vaccinated - Medical teams to get shots into arms - Vaccine supply and to get it out the door as soon as possible  My American Rescue Plan provides the necessary funding to get it done.	AGAINST
146	Anti-vax	Oxford University was going to open source its vaccine, then the Bill and Melinda Gates Foundation stepped in and convinced them to sell exclusive rights to AstraZeneca.  Now AstraZeneca is failing to deliver and poor countries are struggling to access vaccines. https://t.co/1GbFDYgWrH	NONE
147	Anti-vax	Its also worth remembering that U.K. has been a leading &amp; early funder of @CEPIvaccines, @Gavi and COVAX initiatives to provide vaccines around the world.   https://t.co/jRcLJSA3om  https://t.co/hiWZlzRDGJ	NONE
148	Anti-vax	@ahmednasirlaw TELL your BELOVED Jubilee to stop looting so it can buy every Kenyan a vaccine.  Just imagine how much Covid vaccine the theft of the Kimwarer and Arror dams could buy.  But we all know you have an ANTAGONISTIC relationship with the truth w	NONE
149	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
150	Anti-vax	"DANGEROUS CONSPIRACIES: Wisconsin pharmacist arrested by FBI who sabotaged 570 #COVID19 vaccine doses believes:  COVID is fake  vaccine is ""microchipped"" &amp; would turn off peoples birth control &amp; make others infertile  Bonus: also the  is flat https://t.co/T5d6o2rI1e https://t.co/PUHKrXXV8t COVID19"	AGAINST
